,orderNumber,jobNumber,partNumber,partDescription,quantity,dueDate,comments,customerCode,PONumber,dateEntered,notesToCustomer,location,productCode,priority,unitPrice,miscDescription,quantityOrdered,quantityToStock,totalEstimatedHours,user_Text2,jobOnHold
140,18517,18517-02,MOR-880-C3.6-FUSEPANEL,"880-C3.6-FUSEPANEL, PANEL W/ MODULAR PLUG, FUSES & RELAYS FOR 880 C3.6",2,2024-01-30T05:00:00Z,KANBAN,MOROOKA,23890,2023-12-19T13:25:34.52Z,,MAIN,PROD-HNS-W2,40,475.95,da-r,10,0,21.941666558384895,kbn,False
141,18517,18517-03,MOR-C3.6-AT,"C3.6-AT, A-08625-801, AFTERTREATMENT HARNESS FOR CATERPILLAR C3.6 ENGINE",2,2024-01-30T05:00:00Z,KANBAN,MOROOKA,23890,2023-12-19T13:25:34.52Z,,MAIN,PROD-HNS-W2,40,269.22,da-r,10,0,11.045833602547646,kbn,False
142,18517,18517-04,MOR-C3.6-AT-EXT,"C3.6-AT-EXT, A-08625-806, AFTERTREATMENT EXTENSION HARNESS FOR C3.6 ENGINE",2,2024-01-30T05:00:00Z,KANBAN,MOROOKA,23890,2023-12-19T13:25:34.52Z,,MAIN,PROD-HNS-W2,40,124.33,da-r,10,0,4.888889029622078,kbn,False
143,18528,18528-01,MOR-1000-FWD,"1000-FWD, A-08425-804, FORWARD CONTROL HARNESS FOR 1000",1,2024-01-31T05:00:00Z,KANBAN,MOROOKA,23894,2023-12-20T14:02:14.29Z,,MAIN,PROD-HNS-W2,40,115.8,da-r,10,0,6.063889071345329,kbn,False
144,18529,18529-01,MOR-AC-PRESSURE-SW,"AC-PRESSURE-SW, HARNESS TO CONNECT AC PRESSURE SWITCH WITH COMPRESSOR (for vehicles with Crenlo/Worthington White Cabs)",9,2024-02-15T05:00:00Z,KANBAN,MOROOKA,23895,2023-12-20T14:03:38.023Z,,MAIN,PROD-HNS-W2,40,51.73,da-r,10,0,3.2944445461034775,,False
149,18583,18583-01,MOR-BUZZER,"BUZZER, A-08625-809, BUZZER HARNESS",6,2024-02-21T05:00:00Z,KANBAN,MOROOKA,23960,2024-01-10T17:06:10.363Z,,MAIN,PROD-HNS-W2,40,32.47,da-r,10,0,2.658333405852318,kbn,False
150,18588,18588-01,MOR-880-ECM-C3.6,"880-ECM-C3.6, ECM HARNESS FOR CATERPILLAR C3.6 ENGINE (aka 880-C3.6-ECM)",7,2024-02-23T05:00:00Z,KANBAN,MOROOKA,24003,2024-01-12T16:36:49.97Z,,MAIN,PROD-HNS-W2,40,991.17,da-r,10,0,39.70000021159649,kbn,False
151,18588,18588-02,MOR-C3.6-INT-EXT,"C3.6-INT-EXT, A-08625-807, INTERFACE EXTENSION HARNESS FOR C3.6 ENGINE",4,2024-02-23T05:00:00Z,KANBAN,MOROOKA,24003,2024-01-12T16:36:49.97Z,,MAIN,PROD-HNS-W2,40,201.61,da-r,10,0,12.280555710196495,kbn,False
152,18588,18588-02,MOR-C3.6-INT-EXT,"C3.6-INT-EXT, A-08625-807, INTERFACE EXTENSION HARNESS FOR C3.6 ENGINE",2,2024-05-13T04:00:00Z,KANBAN,MOROOKA,24003,2024-01-12T16:36:49.97Z,,MAIN,PROD-HNS-W2,40,201.61,da-r,10,0,12.280555710196495,kbn,False
153,18588,18588-03,MOR-CAMERA-REAR,"CAMERA-REAR, A-04225-815, REAR-FACING/BACKUP, INTEGRATES TO DANFUSS DISPLAY, Customer supplies camera",4,2024-02-23T05:00:00Z,KANBAN,MOROOKA,24003,2024-01-12T16:36:49.97Z,,MAIN,PROD-HNS-W2,40,35.07,dc,25,0,8.277704894542694,kbn,False
155,18588,18588-04,MOR-HYD-SMALL,"HYD-SMALL, A-08625-804, HYDRAULIC HARNESS FOR C3.6 ENGINE",6,2024-02-23T05:00:00Z,KANBAN,MOROOKA,24003,2024-01-12T16:36:49.97Z,,MAIN,PROD-HNS-W2,40,440.72,da-u,10,0,22.527778074145317,kbn,False
164,18634,18634-01,SOUTH-3300,"3300, GEN HARNESS",15,2024-02-29T05:00:00Z,KANBAN,SOUTH,V1310108,2024-01-25T14:25:28.997Z,,POMPANO BEACH,PROD-HNS-W1,40,111.57,da-u,20,0,13.631871998310089,kbn,False
221,18764,18764-01,SOUTH-03M,"03M, HARNESS WITH 03M-JUMPER HARNESS INCLUDED",18,2024-04-09T04:00:00Z,KANBAN,SOUTH,V1310311,2024-03-12T15:09:45.44Z,,POMPANO BEACH,PROD-HNS-W1,40,159.38,da-r,56,0,52.54795455932617,kbn,False
223,18764,18764-05,SOUTH-03M-JUMPER,"03M-JUMPER, 03M JUMPER SUB ASSY",46,2024-04-09T04:00:00Z,KANBAN,SOUTH,V1310311,2024-03-12T15:09:45.44Z,,POMPANO BEACH,PROD-HNS-W1,40,0.0,da-r,0,56,7.9866670072078705,kbn,False
224,18764,18764-02,SOUTH-3300,"3300, GEN HARNESS",20,2024-04-09T04:00:00Z,KANBAN,SOUTH,V1310311,2024-03-12T15:09:45.44Z,,POMPANO BEACH,PROD-HNS-W1,40,111.57,da-u,20,0,13.631871998310089,kbn,False
253,18806,18806-03,MOR-DT04-2P-KIT,"DT04-2P-KIT, A-08425-806, Deutsch 2-pos kit w/ male terminals (pins) & wedgelock in bag",10,2024-05-01T04:00:00Z,KANBAN,MOROOKA,24579,2024-03-20T15:49:47.947Z,,MAIN,PROD-HNS-W2,40,7.15,jn,10,0,0.8472222536802292,kbn,False
254,18806,18806-06,MOR-LED-AMBER,"LED-AMBER, A-04225-888, LED WARNING LIGHT, AMBER, 24V (12V LED w/ resistor added to make it 24V)",20,2024-05-01T04:00:00Z,KANBAN,MOROOKA,24579,2024-03-20T15:49:47.947Z,,MAIN,PROD-HNS-W2,40,14.57,da-r,20,0,3.055555582046509,kbn,False
