,orderNumber,jobNumber,partNumber,partDescription,quantity,dueDate,comments,customerCode,PONumber,dateEntered,notesToCustomer,location,productCode,priority,unitPrice,miscDescription,quantityOrdered,quantityToStock,totalEstimatedHours,user_Text2,jobOnHold
443,19029,19029-01,GRADY-16-1060,"16-1060, 281 HULL HARNESS",5,2024-07-15T04:00:00Z,,GRADY-WHITE,512110,2024-05-29T17:12:22.75Z,,GREENVILLE,PROD-HNS-W3,40,959.74,da-u,10,0,55.744445107877254,customer,False
444,19029,19029-01,GRADY-16-1060,"16-1060, 281 HULL HARNESS",5,2024-08-19T04:00:00Z,,GRADY-WHITE,512110,2024-05-29T17:12:22.75Z,,GREENVILLE,PROD-HNS-W3,40,959.74,da-u,10,0,55.744445107877254,customer,False
465,19057,19057-01,PDI-HNS67056,"HNS67056, TFA STS Control Logic Harness 600A, 800A, & 1000A",80,2024-09-06T04:00:00Z,,PDI,178551-00,2024-06-07T14:50:21.113Z,,RICHMOND,PROD-ONG-1,40,1862.0,da-u,240,0,3.3333332538604736,customer,False
466,19057,19057-01,PDI-HNS67056,"HNS67056, TFA STS Control Logic Harness 600A, 800A, & 1000A",80,2024-10-04T04:00:00Z,,PDI,178551-00,2024-06-07T14:50:21.113Z,,RICHMOND,PROD-ONG-1,40,1862.0,da-u,240,0,3.3333332538604736,customer,False
467,19057,19057-01,PDI-HNS67056,"HNS67056, TFA STS Control Logic Harness 600A, 800A, & 1000A",80,2024-11-01T04:00:00Z,,PDI,178551-00,2024-06-07T14:50:21.113Z,,RICHMOND,PROD-ONG-1,40,1862.0,da-u,240,0,3.3333332538604736,customer,False
485,19068,19068-01,GRADY-16-318,"16-318, 271/281 HT HARNESS",20,2024-07-22T04:00:00Z,,GRADY-WHITE,512750,2024-06-11T14:17:49.367Z,,GREENVILLE,PROD-HNS-W3,40,214.31,da-u,20,0,39.033333629369736,customer,False
486,19069,19069-01,GRADY-16-1061,"16-1061, 281 DECK HARNESS",10,2024-07-29T04:00:00Z,,GRADY-WHITE,512751,2024-06-11T14:23:08.193Z,,GREENVILLE,PROD-HNS-W3,40,475.0,da-u,10,0,21.90277849137783,customer,False
487,19069,19069-02,GRADY-16-493-23,"16-493-23, 271 HULL HARNESS",10,2024-07-29T04:00:00Z,,GRADY-WHITE,512751,2024-06-11T14:23:08.193Z,,GREENVILLE,PROD-HNS-W3,40,591.58,da-u,10,0,57.16944395005703,customer,False
488,19069,19069-03,GRADY-16-574,"16-574, 236 HULL HARNESS",10,2024-07-29T04:00:00Z,,GRADY-WHITE,512751,2024-06-11T14:23:08.193Z,,GREENVILLE,PROD-HNS-W3,40,564.65,da-u,10,0,56.48055790364742,customer,False
489,19069,19069-04,GRADY-22-632-23,"22-632-23, 281 SWITCH PANEL, CL5 DISPLAY",10,2024-07-29T04:00:00Z,,GRADY-WHITE,512751,2024-06-11T14:23:08.193Z,,GREENVILLE,PROD-HNS-W3,40,764.22,da-u,10,0,36.30833280086517,customer,False
517,19087,19087-01,MOR-C3.6-AT,"C3.6-AT, A-08625-801, AFTERTREATMENT HARNESS FOR CATERPILLAR C3.6 ENGINE",5,2024-07-25T04:00:00Z,,MOROOKA,25133,2024-06-13T14:38:47.06Z,,MAIN,PROD-HNS-W2,40,269.22,da-r,5,0,7.039583280682564,kbn,False
518,19087,19087-02,MOR-C3.6-AT-EXT,"C3.6-AT-EXT, A-08625-806, AFTERTREATMENT EXTENSION HARNESS FOR C3.6 ENGINE",5,2024-07-25T04:00:00Z,,MOROOKA,25133,2024-06-13T14:38:47.06Z,,MAIN,PROD-HNS-W2,40,124.33,da-r,5,0,3.6111111640930176,kbn,False
519,19087,19087-03,MOR-C3.6-DEF,"C3.6-DEF, A-08625-802, DEF HARNESS FOR CATERPILLAR C3.6 ENGINE",5,2024-07-25T04:00:00Z,,MOROOKA,25133,2024-06-13T14:38:47.06Z,,MAIN,PROD-HNS-W2,40,330.84,da-r,5,0,9.241666585206985,kbn,False
520,19087,19087-04,MOR-DIAG-EXT,"DIAG-EXT, A-08625-808, DIAGNOSTIC EXTENSION HARNESS FOR C3.6 ENGINE",5,2024-07-25T04:00:00Z,,MOROOKA,25133,2024-06-13T14:38:47.06Z,,MAIN,PROD-HNS-W2,40,55.61,da,5,0,2.754861131310463,kbn,False
521,19087,19087-05,MOR-SMALL-CONTROLS,"SMALL-CONTROLS, A-08425-808, CONTROL HARNESS FOR SMALL VEHICLES (JOYSTICK, MONITOR, ETC)",10,2024-07-25T04:00:00Z,,MOROOKA,25133,2024-06-13T14:38:47.06Z,,MAIN,PROD-HNS-W2,40,195.87,da-r,10,0,4.4812866151332855,kbn,False
522,19087,19087-06,MOR-880-C3.6-FUSEPANEL,"880-C3.6-FUSEPANEL, PANEL W/ MODULAR PLUG, FUSES & RELAYS FOR 880 C3.6",5,2024-07-25T04:00:00Z,,MOROOKA,25133,2024-06-13T14:38:47.06Z,,MAIN,PROD-HNS-W2,40,475.95,da-r,5,0,12.379166647791862,kbn,False
523,19087,19087-07,MOR-LED-AMBER,"LED-AMBER, A-04225-888, LED WARNING LIGHT, AMBER, 24V (12V LED w/ resistor added to make it 24V)",20,2024-07-25T04:00:00Z,,MOROOKA,25133,2024-06-13T14:38:47.06Z,,MAIN,PROD-HNS-W2,40,14.57,da-r,20,0,3.055555582046509,kbn,False
524,19087,19087-08,MOR-BUZZER,"BUZZER, A-08625-809, BUZZER HARNESS",10,2024-07-25T04:00:00Z,,MOROOKA,25133,2024-06-13T14:38:47.06Z,,MAIN,PROD-HNS-W2,40,32.47,da-r,10,0,2.658333405852318,kbn,False
525,19087,19087-09,MOR-2200-T4-HYD,"2200-T4-HYD, A-04225-801, HYDRAULIC HARNESS FOR CHASSIS",10,2024-07-25T04:00:00Z,,MOROOKA,25133,2024-06-13T14:38:47.06Z,,MAIN,PROD-HNS-W2,40,276.82,da-r,10,0,19.81403538584709,kbn,False
526,19087,19087-10,MOR-VDR-2200-FWD,"VDR-2200-FWD, A-04325-802, FORWARD CONTROL HARNESS",10,2024-07-25T04:00:00Z,,MOROOKA,25133,2024-06-13T14:38:47.06Z,,MAIN,PROD-HNS-W2,40,268.38,da-r,10,0,8.102777808904648,kbn,False
527,19087,19087-11,MOR-AT1-EXT,"AT1-EXT, A-04325-804, AFTERTREATMENT EXTENSION FOR CATERPILLAR C7.1 ENGINE",15,2024-07-25T04:00:00Z,,MOROOKA,25133,2024-06-13T14:38:47.06Z,,MAIN,PROD-HNS-W2,40,27.83,da-r,15,0,2.3137062042951584,kbn,False
528,19087,19087-12,MOR-AT2-EXT,"AT2-EXT, A-04325-805, AFTERTREATMENT EXTENSION FOR CATERPILLAR C7.1 ENGINE",15,2024-07-25T04:00:00Z,,MOROOKA,25133,2024-06-13T14:38:47.06Z,,MAIN,PROD-HNS-W2,40,25.42,da-r,15,0,2.4189693480730057,kbn,False
529,19087,19087-13,MOR-2200-T4-FUEL,"2200-T4-FUEL, A-04225-804, FILTER EXTENSION FOR CAT C7.1 ENGINE",15,2024-07-25T04:00:00Z,,MOROOKA,25133,2024-06-13T14:38:47.06Z,,MAIN,PROD-HNS-W2,40,42.67,da-r,15,0,3.324122831225395,kbn,False
531,19089,19089-01,SOUTH-PANEL,"PANEL, 4 AWG, 20FT PANEL HARNESS",24,2024-08-13T04:00:00Z,,SOUTH,V1310604,2024-06-18T12:06:05.387Z,,POMPANO BEACH,PROD-HNS-W1,40,155.36,da-u,48,0,48.5333337187767,kbn,False
532,19089,19089-02,SOUTH-STOP-START,"STOP-START, 20FT PANEL HARNESS",24,2024-08-13T04:00:00Z,,SOUTH,V1310604,2024-06-18T12:06:05.387Z,,POMPANO BEACH,PROD-HNS-W1,40,131.48,da-r,48,0,22.659649908542633,kbn,False
533,19089,19089-01,SOUTH-PANEL,"PANEL, 4 AWG, 20FT PANEL HARNESS",24,2024-07-16T04:00:00Z,,SOUTH,V1310604,2024-06-18T12:06:05.387Z,,POMPANO BEACH,PROD-HNS-W1,40,155.36,da-u,48,0,48.5333337187767,kbn,False
534,19089,19089-02,SOUTH-STOP-START,"STOP-START, 20FT PANEL HARNESS",24,2024-07-16T04:00:00Z,,SOUTH,V1310604,2024-06-18T12:06:05.387Z,,POMPANO BEACH,PROD-HNS-W1,40,131.48,da-r,48,0,22.659649908542633,kbn,False
535,19090,19090-01,GRADY-16-317,"16-317,  257 CONSOLE HARNESS",10,2024-08-05T04:00:00Z,,GRADY-WHITE,513197,2024-06-18T12:14:31.357Z,,GREENVILLE,PROD-HNS-W3,40,41.35,da-r,10,0,4.375000044703484,customer,False
536,19090,19090-02,GRADY-16-476,"16-476,  251 DECK HARNESS",10,2024-08-05T04:00:00Z,,GRADY-WHITE,513197,2024-06-18T12:14:31.357Z,,GREENVILLE,PROD-HNS-W3,40,69.85,da-u,10,0,7.649999991059303,customer,False
578,19135,19135-01,GRADY-16-1012,"16-1012,  216/236/251/257 HARDTOP (HT) HARNESS",50,2024-07-29T04:00:00Z,,GRADY-WHITE,513670,2024-06-25T14:32:44.687Z,,GREENVILLE,PROD-HNS-W3,40,76.78,da-r,50,0,38.897222489118576,customer,False
579,19136,19136-01,GRADY-16-565,"16-565, 271 CONSOLE HARNESS",10,2024-08-05T04:00:00Z,,GRADY-WHITE,513671,2024-06-25T14:33:34.21Z,,GREENVILLE,PROD-HNS-W3,40,68.77,da-u,10,0,8.227777808904648,customer,False
580,19137,19137-01,GRADY-16-1103,"16-1103, CONSTANT STEREO ADAPTER",100,2024-08-19T04:00:00Z,,GRADY-WHITE,513672,2024-06-25T14:34:51.977Z,,GREENVILLE,PROD-HNS-W3,40,45.8,da-i,100,0,31.288890063762665,customer,False
592,19139,19139-10,VC-AB-CONNECTING-CABLE,"AB-CONNECTING-CABLE, CONNECTS ALLEN BRADLEY PLC'S (aka Dupline cables)",30,2024-07-26T04:00:00Z,,VIRGINIA CON,33926,2024-06-27T12:57:08.457Z,,OILVILLE,PROD-MULTI,40,33.42,dc,30,0,5.500000059604645,kbn,False
593,19139,19139-11,VC-SAVARIA,SAVARIA SERIAL CABLE B.T,30,2024-07-26T04:00:00Z,,VIRGINIA CON,33926,2024-06-27T12:57:08.457Z,,OILVILLE,PROD-HNS-STD,40,12.93,dc,30,0,4.921491295099258,kbn,False
